event,date,page_url,pdf_url
Planning Board Meeting,"February 11, 2026 - 7:00pm",https://www.ballstonspa.gov/home/events/20901,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/2.11.26_meeting_agenda_0.pdf
Historic District Commission Meeting,"February 10, 2026 - 7:00pm",https://www.ballstonspa.gov/home/events/21006,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/feb_10_agenda.pdf
Village of Ballston Spa Board of Trustees Meeting,"February 9, 2026 - 7:00pm",https://www.ballstonspa.gov/home/events/20811,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/abstract_2.9.26.pdf
Village of Ballston Spa Board of Trustees Meeting,"February 9, 2026 - 7:00pm",https://www.ballstonspa.gov/home/events/20811,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/attachments_2.9.26.pdf
Village of Ballston Spa Board of Trustees Meeting,"February 9, 2026 - 7:00pm",https://www.ballstonspa.gov/home/events/20811,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/2.9.26_att_bspa_revitalize_presentation.pdf
Village of Ballston Spa Board of Trustees Meeting,"February 9, 2026 - 7:00pm",https://www.ballstonspa.gov/home/events/20811,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/1.12.26_mtg_minutes.pdf
Village of Ballston Spa Board of Trustees Meeting,"February 9, 2026 - 7:00pm",https://www.ballstonspa.gov/home/events/20811,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/1.26.26_minutes.pdf
Village of Ballston Spa Board of Trustees Meeting,"February 9, 2026 - 7:00pm",https://www.ballstonspa.gov/home/events/20811,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/agenda_2.9.2026_0.pdf
Village of Ballston Spa Board of Trustees Meeting,"January 26, 2026 - 7:00pm",https://www.ballstonspa.gov/home/events/20806,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/1.26.26_agenda_fsr.pdf
Village of Ballston Spa Board of Trustees Meeting,"January 26, 2026 - 7:00pm",https://www.ballstonspa.gov/home/events/20806,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/attachments_1.26.26.pdf
Village of Ballston Spa Board of Trustees Meeting,"January 26, 2026 - 7:00pm",https://www.ballstonspa.gov/home/events/20806,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/1.12.26_draft_minutes_for_1.26.26_mtg.pdf
Village of Ballston Spa Board of Trustees Meeting,"January 26, 2026 - 7:00pm",https://www.ballstonspa.gov/home/events/20806,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/abstract_1.26.26.pdf
Village of Ballston Spa Board of Trustees Meeting,"January 26, 2026 - 7:00pm",https://www.ballstonspa.gov/home/events/20806,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/attachments_1.26.26b.pdf
BOA Steering Committee Meeting,"January 22, 2026 - 7:00pm",https://www.ballstonspa.gov/home/events/21016,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/agenda_-_committee_meeting_6.pdf
Park and Tree Meeting,"January 20, 2026 - 7:00pm",https://www.ballstonspa.gov/home/events/20771,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/park_and_tree_agenda_1.20.26.pdf
Park and Tree Meeting,"January 20, 2026 - 7:00pm",https://www.ballstonspa.gov/home/events/20771,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/park_and_tree_minutes_12.16.25.pdf
Committee on the Arts Meeting,"January 14, 2026 - 7:00pm",https://www.ballstonspa.gov/home/events/20826,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/11.12.2025_meeting_minutes.pdf
Committee on the Arts Meeting,"January 14, 2026 - 7:00pm",https://www.ballstonspa.gov/home/events/20826,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/1.14.2026_meeting_agenda.pdf
Planning Board Meeting,"January 14, 2026 - 7:00pm",https://www.ballstonspa.gov/home/events/20711,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/1.14.26_meeting_agenda.pdf
HDC Meeting,"January 13, 2026 - 7:00pm",https://www.ballstonspa.gov/home/events/20756,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/hdc_jan_13_26_agenda.pdf
Village of Ballston Spa Board of Trustees Meeting,"January 12, 2026 - 7:00pm",https://www.ballstonspa.gov/home/events/20421,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/agenda_1-12-26_fsr.pdf
Village of Ballston Spa Board of Trustees Meeting,"January 12, 2026 - 7:00pm",https://www.ballstonspa.gov/home/events/20421,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/draft_meeting_minutes_for_12.8.25-1.1.26_meetings.pdf
Village of Ballston Spa Board of Trustees Meeting,"January 12, 2026 - 7:00pm",https://www.ballstonspa.gov/home/events/20421,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/1.12.26_abstract.pdf
Village of Ballston Spa Board of Trustees Meeting,"January 12, 2026 - 7:00pm",https://www.ballstonspa.gov/home/events/20421,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/1.12.26_attachments.pdf
Village of Ballston Spa Organizational Meeting,"January 1, 2026 - 12:00pm",https://www.ballstonspa.gov/home/events/20356,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/att_1-1-2026.pdf
Village of Ballston Spa Organizational Meeting,"January 1, 2026 - 12:00pm",https://www.ballstonspa.gov/home/events/20356,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/agenda_1.1.26_fsr.pdf
Park and Tree Meeting,"December 16, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/20346,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/park_and_tree_agenda_12.16.25.pdf
Special Board of Trustees Meeting,"December 15, 2025 - 6:30pm",https://www.ballstonspa.gov/home/events/20326,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/agenda_12.15.25_-_fsr.pdf
Special Board of Trustees Meeting,"December 15, 2025 - 6:30pm",https://www.ballstonspa.gov/home/events/20326,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/12-15-25_att.pdf
Postponed !!! Arts Committee Meeting,"December 10, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/20151,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/12.10.2025_meeting_agenda.pdf
Planning Board Meeting,"December 10, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19921,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/12.10.25_meeting_agenda.pdf
Planning Board Meeting,"December 10, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19921,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/info_packet_87_front_st_bsnb_signs.pdf
Village of Ballston Spa Board of Trustees Meeting,"December 8, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/20241,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/12.08.25_att.pdf
Village of Ballston Spa Board of Trustees Meeting,"December 8, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/20241,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/agenda_12.08.25_-_fsr.pdf
Village of Ballston Spa Board of Trustees Meeting,"December 8, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/20241,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/bd._mtg._11.24.25_0.pdf
Zoning Board of Appeals Meeting,"December 3, 2025 - 6:00pm",https://www.ballstonspa.gov/home/events/19916,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/site_plan_review_checklist_galway_lot_line_adjustment_1.pdf
Zoning Board of Appeals Meeting,"December 3, 2025 - 6:00pm",https://www.ballstonspa.gov/home/events/19916,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/galway_st_subdivision_application__0.pdf
Zoning Board of Appeals Meeting,"December 3, 2025 - 6:00pm",https://www.ballstonspa.gov/home/events/19916,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/108000-site_plan_checklist_0.pdf
Zoning Board of Appeals Meeting,"December 3, 2025 - 6:00pm",https://www.ballstonspa.gov/home/events/19916,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/108000-site_plan_application_0.pdf
Zoning Board of Appeals Meeting,"December 3, 2025 - 6:00pm",https://www.ballstonspa.gov/home/events/19916,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/108000-seaf_0.pdf
Zoning Board of Appeals Meeting,"December 3, 2025 - 6:00pm",https://www.ballstonspa.gov/home/events/19916,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/108000-concept_layout_0.pdf
Zoning Board of Appeals Meeting,"December 3, 2025 - 6:00pm",https://www.ballstonspa.gov/home/events/19916,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/108000-2025_10_7-project_narrative_0.pdf
Zoning Board of Appeals Meeting,"December 3, 2025 - 6:00pm",https://www.ballstonspa.gov/home/events/19916,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/12.3.25_zba_agenda_0.pdf
Zoning Board of Appeals Meeting,"December 3, 2025 - 6:00pm",https://www.ballstonspa.gov/home/events/19916,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/1080.00_l.l.a.cert_25-10-2_0.pdf
Zoning Board of Appeals Meeting,"December 3, 2025 - 6:00pm",https://www.ballstonspa.gov/home/events/19916,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/zoning_area_application_11-4-2025_tacy_0.pdf
Zoning Board of Appeals Meeting,"December 3, 2025 - 6:00pm",https://www.ballstonspa.gov/home/events/19916,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/info_packet_17_east_high_street_-_maas_0.pdf
Ethics Board Meeting,"November 25, 2025 - 1:00pm",https://www.ballstonspa.gov/home/events/20041,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/agenda-11.25.25_copy.pdf
Village of Ballston Spa Board of Trustees Meeting,"November 24, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19971,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/11.24.25_att.pdf
Village of Ballston Spa Board of Trustees Meeting,"November 24, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19971,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/bd._mtg._11.10.25.pdf
Village of Ballston Spa Board of Trustees Meeting,"November 24, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19971,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/agenda_11.24.25_fsr.pdf
Revitalize Ballston Spa Public Workshop,"November 20, 2025 - 6:00pm",https://www.ballstonspa.gov/home/events/18941,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/bspa_boa_workshop_flyer_workshop_2_flyer.pdf
Park and Tree Meeting,"November 18, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19936,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/park_and_tree_agenda_11.18.25.pdf
Planning Board Meeting,"November 12, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19331,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/11.12.25_meeting_agenda.pdf
Planning Board Meeting,"November 12, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19331,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/tacy_subdivision_rev_10-7-25_0.pdf
Planning Board Meeting,"November 12, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19331,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/washington_st_subdivision_application__0.pdf
Planning Board Meeting,"November 12, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19331,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/scan.pdf
Village of Ballston Spa Board of Trustees Meeting,"November 10, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19521,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/11-10-2025_att_2_of_2.pdf
Village of Ballston Spa Board of Trustees Meeting,"November 10, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19521,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/11-10-2025_att_1_of_2.pdf
Village of Ballston Spa Board of Trustees Meeting,"November 10, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19521,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/bd._mtg._10.27.25.pdf
Village of Ballston Spa Board of Trustees Meeting,"November 10, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19521,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/special_mtg._10.27.25.pdf
Village of Ballston Spa Board of Trustees Meeting,"November 10, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19521,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/agenda_11.10.25_fsr_amended.pdf
Village of Ballston Spa Board of Trustees Meeting,"November 10, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19521,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/2026_bspa_fiscal_sponsorhip_projects.pdf
Village of Ballston Spa Board of Trustees Meeting,"November 10, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19401,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/11-10-2025_att_2_of_2.pdf
Village of Ballston Spa Board of Trustees Meeting,"November 10, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19401,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/11-10-2025_att_1_of_2.pdf
Village of Ballston Spa Board of Trustees Meeting,"November 10, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19401,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/bd._mtg._10.27.25.pdf
Village of Ballston Spa Board of Trustees Meeting,"November 10, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19401,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/special_mtg._10.27.25.pdf
Village of Ballston Spa Board of Trustees Meeting,"November 10, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19401,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/agenda_11.10.25_fsr.pdf
Zoning Board of Appeals Meeting,"November 6, 2025 - 6:00pm",https://www.ballstonspa.gov/home/events/19316,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/11.6.25_zba_agenda.pdf
Committee on the Arts Meeting,"November 5, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/17571,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/meeting_agenda_11.5.2025.pdf
Zoning Board of Appeals Meeting,"October 29, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/18986,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/info_packet_114_south_street_jordan.pdf
Zoning Board of Appeals Meeting,"October 29, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/18986,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/10.29.25_zba_agenda.pdf
Zoning Board of Appeals Meeting,"October 29, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/18986,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/galway_st_subdivision_application_.pdf
Zoning Board of Appeals Meeting,"October 29, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/18986,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/108000-site_vicinity_plan.pdf
Zoning Board of Appeals Meeting,"October 29, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/18986,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/108000-site_plan_checklist.pdf
Zoning Board of Appeals Meeting,"October 29, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/18986,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/108000-site_plan_application.pdf
Zoning Board of Appeals Meeting,"October 29, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/18986,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/108000-seaf.pdf
Zoning Board of Appeals Meeting,"October 29, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/18986,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/108000-concept_layout.pdf
Zoning Board of Appeals Meeting,"October 29, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/18986,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/108000-2025_10_7-project_narrative.pdf
Zoning Board of Appeals Meeting,"October 29, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/18986,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/1080.00_l.l.a.cert_25-10-2.pdf
Zoning Board of Appeals Meeting,"October 29, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/18986,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/washington_subdivision_seqr_part_1_10.8.2025.pdf
Zoning Board of Appeals Meeting,"October 29, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/18986,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/washington_st_subdivision_application_.pdf
Zoning Board of Appeals Meeting,"October 29, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/18986,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/tacy_subdivision_rev_10-7-25.pdf
Zoning Board of Appeals Meeting,"October 29, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/18986,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/tacy_seqr_part_2_washington_st_10.8.25.pdf
Zoning Board of Appeals Meeting,"October 29, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/18986,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/site_plan_review_checklist_washington_subdivision.pdf
Zoning Board of Appeals Meeting,"October 29, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/18986,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/site_plan_review_checklist_galway_lot_line_adjustment_0.pdf
Zoning Board of Appeals Meeting,"October 29, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/18986,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/planning_board_minutes_10.8.25_-_draft_amended.pdf
Historic District Commission Meeting,"October 28, 2025 - 5:30pm",https://www.ballstonspa.gov/home/events/19076,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/hdc_agenda_10.28.25.pdf
Village of Ballston Spa Board of Trustees Meeting,"October 27, 2025 - 6:30pm",https://www.ballstonspa.gov/home/events/19216,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/bd._mtg._10.14.25.pdf
Village of Ballston Spa Board of Trustees Meeting,"October 27, 2025 - 6:30pm",https://www.ballstonspa.gov/home/events/19216,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/agenda_10.27.25_fsr.pdf
Village of Ballston Spa Board of Trustees Meeting,"October 27, 2025 - 6:30pm",https://www.ballstonspa.gov/home/events/19216,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/10.27.25_att_fixed.pdf
Park and Tree Meeting,"October 21, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/18971,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/park_and_tree_agenda_10.21.25.pdf
Committee on the Arts Meeting,"October 15, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/17606,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/10.15.2025_coa_meeting_agenda.pdf
Village of Ballston Spa Board of Trustees Meeting,"October 14, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19461,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/11-10-2025_att_2_of_2.pdf
Village of Ballston Spa Board of Trustees Meeting,"October 14, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19461,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/11-10-2025_att_1_of_2.pdf
Village of Ballston Spa Board of Trustees Meeting,"October 14, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19461,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/bd._mtg._10.27.25.pdf
Village of Ballston Spa Board of Trustees Meeting,"October 14, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19461,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/special_mtg._10.27.25.pdf
Village of Ballston Spa Board of Trustees Meeting,"October 14, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19461,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/agenda_11.10.25_fsr_amended.pdf
